#one-scaled MTG generated by module "trees"								
CODE:	FORM-A							
								
CLASSES:								
SYMBOL	SCALE	DECOMPOSITION	INDEXATION	DEFINITION				
$	0	FREE      	FREE      	IMPLICIT				
N	1	CONNECTED 	FREE      	IMPLICIT				
V	2	NONE      	FREE      	EXPLICIT				
								
DESCRIPTION:								
LEFT	RIGHT	RELTYPE	MAX					
V	V	+	?					
V	V	<	?					
								
FEATURES:								
NAME	TYPE							
								
Length	INT							
HalfNbCat	INT							
HalfNbLeaves	INT							
IN	INT							
								
MTG:								
ENTITY-CODE					Length	HalfNbCat	HalfNbLeaves	IN
/N0								
		^<V10			88	2	2	4
	^<V11				234	2	4	6
		+V12			94	1	1	2
		^<V13			124	2	3	5
		^<V14			153	2	3	5
			+V15		9	1	0	1
			+V16		9	1	0	1
	^<V17				238	3	4	7
		+V18			79	1	1	2
		^<V19			174	2	3	5
		^<V20			50	2	1	3
		^<V21			72	3	1	4
		+V22			31	1	0	1
		^<V23			165	2	3	5
		^<V24			125	2	2	4
		^<V25			59	2	1	3
	^<V26				215	3	3	6
		+V27			94	1	1	2
		^<V28			128	2	2	4
		^<V29			163	2	3	5
			+V30		14	1	0	1
			+V31		16	1	0	1
		^<V32			85	3	2	4
	^<V33				184	3	3	6
		+V34			32	1	0	1
		^<V35			169	3	2	5
		^<V36			131	2	2	4
			+V37		24	1	0	1
			^<V38		62	2	1	3
			+V39		19	1	0	1
			^<V40		7	3	0	3
		^<V41			43	4	1	4
	^<V42				186	3	3	6
		+V43			26	1	0	1
		^<V44			170	3	2	5
		^<V45			138	3	3	6
			+V46		9	1	0	1
			^<V47		95	3	1	4
		^<V48			175	2	3	5
			+V49		20	1	0	1
			^<V50		75	2	1	3
		^<V51			156	2	3	5
			+V52		9	1	0	1
			+V53		8	1	0	1
		+V54			35	1	0	1
		^<V55			256	4	3	7
		^<V56			152	2	3	5
			+V57		14	1	0	1
			+V58		10	1	0	1
		+V59			35	1	0	1
		^<V60			244	4	3	7
		^<V61			155	2	3	5
			+V62		10	1	0	1
			^<V63		88	3	1	4
			+V64		10	1	0	1
			^<V65		127	3	2	4
		^<V66			156	3	3	6
		^<V67			141	2	3	5
			+V68		10	1	0	1
			+V69		10	1	0	1
	^<V70				166	3	2	5
	^<V71				120	3	3	6
		+V72			13	1	0	1
		^<V73			229	3	3	6
		^<V74			213	4	3	7
			+V75		10	1	0	1
			+V76		10	1	0	1
	^<V77				81	4	2	6
		+V78			58	1	0	1
		^<V79			80	2	1	3
		^<V80			109	4	2	6
/N12								
	/V0				270	7	4	11
	^<V1				3	2	1	3
	^<V2				6	2	1	3
	^<V3				22	2	2	4
	^<V4				108	2	2	4
		+V5			19	1	0	1
		^<V6			58	2	1	3
		^<V7			40	2	1	3
		^<V8			70	2	1	3
		^<V9			52	2	1	3
		+V10			13	1	0	1
		^<V11			68	2	1	3
		^<V12			31	2	1	3
		^<V13			68	2	1	3
		^<V14			55	2	1	3
		^<V15			33	3	1	4
		^<V16			40	2	1	3
	^<V17				77	2	2	4
	^<V18				165	2	3	5
		+V19			22	1	0	1
		^<V20			76	2	1	3
		^<V21			57	3	1	4
		^<V22			56	2	1	3
		^<V23			55	2	1	3
		+V24			24	1	0	1
		^<V25			75	2	1	3
		^<V26			47	3	1	4
		^<V27			52	2	1	3
	^<V28				85	2	2	4
	^<V29				71	3	2	5
		+V30			30	1	0	1
		^<V31			75	2	1	3
		^<V32			108	3	2	5
		^<V33			127	2	2	4
			+V34		11	1	0	1
			^<V35		40	3	1	4
		^<V36			54	3	1	4
		+V37			33	1	0	1
		^<V38			75	2	1	3
		^<V39			120	6	2	8
		^<V40			103	2	2	4
	^<V41				320	7	4	11
		+V42			90	1	1	2
		^<V43			150	3	3	5
		^<V44			66	3	2	5
			+V45		7	1	0	1
			^<V46		12	3	0	3
		^<V47			53	3	1	4
		+V48			31	1	0	1
		^<V49			202	2	3	5
		^<V50			124	3	3	6
			+V51		8	1	0	1
			^<V52		111	3	2	4
		^<V53			50	3	1	4
	^<V54				140	3	2	5
	^<V55				70	4	3	7
		+V56			16	1	1	2
		^<V57			165	4	2	6
		+V58			15	1	1	2
		^<V59			91	3	2	5
		^<V60			80	5	1	6
		+V61			11	1	0	1
		^<V62			220	4	3	7
		^<V63			148	3	2	5
			+V64		15	1	0	1
			+V65		15	1	0	1
	^<V66				115	4	2	6
	^<V67				159	3	3	6
		+V68			25	1	0	1
		+V69			25	1	0	1
		+V70			15	1	0	1
		+V71			15	1	0	1
/N13								
	/V0				234	10	3	12
	^<V1				12	4	2	6
	^<V2				9	2	1	3
	^<V3				16	2	2	4
	^<V4				32	3	2	5
	^<V5				46	2	2	4
	^<V6				97	3	3	6
		+V7			38	1	0	1
		^<V8			35	2	1	3
		^<V9			56	2	2	4
